nodes,threads,N,time
1,4,2048,0.00160848
1,4,2048,0.00174902
1,4,2048,0.00209202
1,4,2048,0.00164151
1,4,2048,0.00218422
1,4,2048,0.00180845
1,4,2048,0.00208363
1,4,2048,0.00215166
1,4,2048,0.00224947
1,4,2048,0.00216606
1,4,2048,0.0015608
1,4,2048,0.00207924
1,4,2048,0.00160698
1,4,2048,0.00162575
1,4,2048,0.00248544
1,4,2048,0.00217275
1,4,2048,0.00163193
1,4,2048,0.00168233
1,4,2048,0.00200354
1,4,2048,0.00245184
2,4,2048,0.00189044
2,4,2048,0.0017107
2,4,2048,0.00176456
2,4,2048,0.0016533
2,4,2048,0.00235498
2,4,2048,0.00172941
2,4,2048,0.00166398
2,4,2048,0.00160099
2,4,2048,0.00160298
2,4,2048,0.0017185
2,4,2048,0.00175851
2,4,2048,0.00232967
2,4,2048,0.00172143
2,4,2048,0.00230322
2,4,2048,0.00196565
2,4,2048,0.00166171
2,4,2048,0.00165505
2,4,2048,0.00189255
2,4,2048,0.00167138
2,4,2048,0.001714
4,4,2048,0.139092
4,4,2048,0.116877
4,4,2048,0.125486
4,4,2048,0.117431
4,4,2048,0.122441
4,4,2048,0.115596
4,4,2048,0.144112
4,4,2048,0.132053
4,4,2048,0.127096
4,4,2048,0.129902
4,4,2048,0.140937
4,4,2048,0.145341
4,4,2048,0.12644
4,4,2048,0.121123
4,4,2048,0.136246
4,4,2048,0.280128
4,4,2048,0.143115
4,4,2048,0.120715
4,4,2048,0.113808
4,4,2048,0.136668
7,4,2048,0.144825
7,4,2048,0.209517
7,4,2048,0.148128
7,4,2048,0.143158
7,4,2048,0.152064
7,4,2048,0.151392
7,4,2048,0.334731
7,4,2048,0.350009
7,4,2048,0.134439
7,4,2048,0.158664
7,4,2048,0.173412
7,4,2048,0.145487
7,4,2048,0.157555
7,4,2048,0.345789
7,4,2048,0.347473
7,4,2048,5.02286
7,4,2048,0.13578
7,4,2048,0.146684
7,4,2048,0.155925
7,4,2048,0.159064
1,2,4096,0.00682469
1,2,4096,0.00489754
1,2,4096,0.00490368
1,2,4096,0.00484839
1,2,4096,0.00540942
1,2,4096,0.00654787
1,2,4096,0.00540552
1,2,4096,0.00490516
1,2,4096,0.00559684
1,2,4096,0.00481414
1,2,4096,0.00490086
1,2,4096,0.00506339
1,2,4096,0.0057995
1,2,4096,0.00476028
1,2,4096,0.00480067
1,2,4096,0.00600866
1,2,4096,0.00490258
1,2,4096,0.00653847
1,2,4096,0.00477306
1,2,4096,0.0065457
1,4,4096,0.00507309
1,4,4096,0.0060546
1,4,4096,0.00510498
1,4,4096,0.00506418
1,4,4096,0.00652083
1,4,4096,0.00507323
1,4,4096,0.00561323
1,4,4096,0.00524437
1,4,4096,0.00491596
1,4,4096,0.00653495
1,4,4096,0.00625934
1,4,4096,0.0049186
1,4,4096,0.00495433
1,4,4096,0.00595201
1,4,4096,0.0054277
1,4,4096,0.00494261
1,4,4096,0.00631757
1,4,4096,0.00678251
1,4,4096,0.00507516
1,4,4096,0.00553505
2,4,4096,0.00505765
2,4,4096,0.00514373
2,4,4096,0.00513134
2,4,4096,0.00512565
2,4,4096,0.00526176
2,4,4096,0.0050648
2,4,4096,0.00530333
2,4,4096,0.00555948
2,4,4096,0.00582782
2,4,4096,0.00638914
2,4,4096,0.00567404
2,4,4096,0.0053433
2,4,4096,0.00507284
2,4,4096,0.00497662
2,4,4096,0.00505515
2,4,4096,0.00621201
2,4,4096,0.00647069
2,4,4096,0.00509515
2,4,4096,0.00555597
2,4,4096,0.00582709
4,4,4096,0.136882
4,4,4096,0.146673
4,4,4096,0.146138
4,4,4096,0.139678
4,4,4096,0.149551
4,4,4096,0.139551
4,4,4096,0.143941
4,4,4096,0.137449
4,4,4096,0.131111
4,4,4096,0.142146
4,4,4096,0.143075
4,4,4096,0.150011
4,4,4096,0.150653
4,4,4096,0.158454
4,4,4096,0.13621
4,4,4096,0.136099
4,4,4096,0.135506
4,4,4096,0.148208
4,4,4096,0.133713
4,4,4096,0.127822
7,4,4096,0.184629
7,4,4096,0.153655
7,4,4096,0.367882
7,4,4096,0.166609
7,4,4096,0.146374
7,4,4096,0.168591
7,4,4096,0.160842
7,4,4096,0.179579
7,4,4096,0.151039
7,4,4096,0.16032
7,4,4096,0.152106
7,4,4096,0.350989
7,4,4096,0.146386
7,4,4096,0.161433
7,4,4096,0.750738
7,4,4096,0.162009
7,4,4096,0.152784
7,4,4096,0.153588
7,4,4096,0.154994
7,4,4096,0.385596
1,2,8192,0.0165778
1,2,8192,0.0161366
1,2,8192,0.018344
1,2,8192,0.0170955
1,2,8192,0.0163364
1,2,8192,0.0184519
1,2,8192,0.0177245
1,2,8192,0.0166201
1,2,8192,0.0168261
1,2,8192,0.0166146
1,2,8192,0.0171308
1,2,8192,0.0166915
1,2,8192,0.0161736
1,2,8192,0.0176771
1,2,8192,0.016835
1,2,8192,0.018196
1,2,8192,0.0163906
1,2,8192,0.0177209
1,2,8192,0.0164686
1,2,8192,0.0170312
1,4,8192,0.0165991
1,4,8192,0.0172748
1,4,8192,0.0175438
1,4,8192,0.018337
1,4,8192,0.016985
1,4,8192,0.0171283
1,4,8192,0.018227
1,4,8192,0.0184569
1,4,8192,0.016643
1,4,8192,0.0168522
1,4,8192,0.0184691
1,4,8192,0.0183866
1,4,8192,0.0178603
1,4,8192,0.0170524
1,4,8192,0.0164703
1,4,8192,0.0168764
1,4,8192,0.0166765
1,4,8192,0.0166025
1,4,8192,0.0181195
1,4,8192,0.0171023
2,4,8192,0.0172995
2,4,8192,0.0173063
2,4,8192,0.0168906
2,4,8192,0.0168839
2,4,8192,0.0168705
2,4,8192,0.0167526
2,4,8192,0.0169175
2,4,8192,0.0166119
2,4,8192,0.0171326
2,4,8192,0.0172441
2,4,8192,0.0168058
2,4,8192,0.0172289
2,4,8192,0.0185406
2,4,8192,0.0168871
2,4,8192,0.0165664
2,4,8192,0.0167374
2,4,8192,0.0176572
2,4,8192,0.0168851
2,4,8192,0.0167251
2,4,8192,0.0167403
4,4,8192,0.144159
4,4,8192,0.145697
4,4,8192,0.149969
4,4,8192,0.162077
4,4,8192,0.158309
4,4,8192,0.160188
4,4,8192,0.190645
4,4,8192,0.147174
4,4,8192,0.176639
4,4,8192,0.163996
4,4,8192,0.154372
4,4,8192,0.15637
4,4,8192,0.150091
4,4,8192,0.153737
4,4,8192,0.156322
4,4,8192,0.150984
4,4,8192,0.144681
4,4,8192,0.176572
4,4,8192,0.17948
4,4,8192,0.153297
7,4,8192,0.180696
7,4,8192,0.174393
7,4,8192,0.368936
7,4,8192,0.163843
7,4,8192,0.170092
7,4,8192,0.175422
7,4,8192,0.163637
7,4,8192,0.166852
7,4,8192,0.150689
7,4,8192,0.173954
7,4,8192,0.170024
7,4,8192,0.172983
7,4,8192,0.175584
7,4,8192,2.3567
7,4,8192,0.186789
7,4,8192,0.198414
7,4,8192,0.161963
7,4,8192,0.362737
7,4,8192,0.166082
7,4,8192,0.179626
1,2,16384,0.0603004
1,2,16384,0.0576674
1,2,16384,0.0583055
1,2,16384,0.0595231
1,2,16384,0.0590917
1,2,16384,0.0582993
